transaction_id,client_id,asset_name,transaction_start_date,transaction_end_date,country,amount
1,101,Apple Inc.,2023-01-10,2023-01-20,USA,1000
2,102,BMW,2023-03-15,2023-03-30,,3000
3,101,Amazon,2023-02-20,2023-03-05,USA,1500
4,103,Alibaba,2023-05-25,2023-06-10,China,4000
5,104,Microsoft,2023-08-30,2023-09-10,USA,2500
6,105,Volkswagen,2023-07-12,2023-07-25,Germany,3500
7,106,Tencent,2023-04-15,2023-04-30,China,2000
8,107,Google,2023-06-10,2023-06-20,USA,5000
9,108,Adidas,2023-09-08,2023-09-18,Germany,1200
10,109,Zoom,2023-10-22,2023-11-02,USA,1500
11,110,Baidu,2023-12-01,2023-12-10,China,1800
12,111,Intel Corporation,2023-06-01,2023-06-10,,2800
13,112,Nike,2023-07-20,2023-07-30,USA,1500
14,113,Deutsche Bank,2023-08-05,2023-08-20,Germany,4000
15,114,Pinduoduo,2023-09-15,2023-09-25,China,2200
16,115,Procter & Gamble,2023-10-10,2023-10-20,USA,3200
17,116,Siemens,2023-11-05,2023-11-15,Germany,5000
18,117,Bilibili,2023-12-20,2023-12-30,China,1800
19,118,Apple Inc.,2023-02-01,2023-02-15,USA,2000
20,119,BMW,2023-04-10,2023-04-25,Germany,3500
21,120,Tencent,2023-05-15,2023-05-30,China,2400
22,121,Unilever,2023-03-01,2023-03-15,UK,1800
23,122,Peugeot,2023-05-20,2023-05-30,France,2800
24,123,Kia Motors,2023-07-01,2023-07-10,South Korea,2000
25,124,Accenture,2023-08-15,2023-08-30,Ireland,3500
26,125,Audi,2023-09-25,2023-10-05,Germany,4200
27,126,SoftBank,2023-11-15,2023-11-25,Japan,5000
28,127,Banco Santander,2023-12-15,2023-12-30,Spain,3200
29,128,Mahindra & Mahindra,2023-02-10,2023-02-20,India,2200
30,129,Novartis,2023-04-05,2023-04-15,Switzerland,1500
32,131,Rio Tinto,2023-02-05,2023-02-15,Australia,2500
33,132,Telstra Corporation,2023-03-25,2023-04-05,Australia,1800
34,133,Vale S.A.,2023-06-15,2023-06-30,Brazil,3200
35,134,Petrobras,2023-07-20,2023-08-05,Brazil,5000